iteracao,arquivo,n,target,found,duracao
1,data/subset_pequeno.txt,5,72,0,0.000000
1,data/subset_medio.txt,15,525,1,0.001000
1,data/subset_grande.txt,25,757,1,0.004000
2,data/subset_pequeno.txt,5,39,0,0.000000
2,data/subset_medio.txt,15,228,1,0.000000
2,data/subset_grande.txt,25,893,1,0.019000
3,data/subset_pequeno.txt,5,86,0,0.000000
3,data/subset_medio.txt,15,321,1,0.000000
3,data/subset_grande.txt,25,96,1,0.000000
4,data/subset_pequeno.txt,5,43,0,0.000000
4,data/subset_medio.txt,15,40,1,0.000000
4,data/subset_grande.txt,25,1087,1,0.244000
5,data/subset_pequeno.txt,5,78,0,0.000000
5,data/subset_medio.txt,15,35,0,0.004000
5,data/subset_grande.txt,25,1168,1,0.597000
6,data/subset_pequeno.txt,5,185,0,0.000000
6,data/subset_medio.txt,15,164,1,0.000000
6,data/subset_grande.txt,25,814,1,0.006000
7,data/subset_pequeno.txt,5,280,0,0.000000
7,data/subset_medio.txt,15,427,1,0.000000
7,data/subset_grande.txt,25,1399,1,4.577000
8,data/subset_pequeno.txt,5,159,0,0.000000
8,data/subset_medio.txt,15,22,0,0.004000
8,data/subset_grande.txt,25,1056,1,0.085000
9,data/subset_pequeno.txt,5,148,1,0.000000
9,data/subset_medio.txt,15,351,1,0.000000
9,data/subset_grande.txt,25,745,1,0.006000
10,data/subset_pequeno.txt,5,253,0,0.000000
10,data/subset_medio.txt,15,388,1,0.000000
10,data/subset_grande.txt,25,1106,1,0.321000
11,data/subset_pequeno.txt,5,286,0,0.000000
11,data/subset_medio.txt,15,711,0,0.005000
11,data/subset_grande.txt,25,1487,0,6.973000
12,data/subset_pequeno.txt,5,241,0,0.000000
12,data/subset_medio.txt,15,170,1,0.000000
12,data/subset_grande.txt,25,164,1,0.000000
13,data/subset_pequeno.txt,5,176,0,0.000000
13,data/subset_medio.txt,15,255,1,0.000000
13,data/subset_grande.txt,25,284,1,0.000000
14,data/subset_pequeno.txt,5,221,0,0.000000
14,data/subset_medio.txt,15,90,1,0.000000
