Target;Tempo Total (ms);Subset
19507;1337.502;subset_100000
14640;573.249;subset_100000
7451;143.383;subset_100000
20196;2190.873;subset_100000
18010;1447.382;subset_100000
2360;14.563;subset_100000
5584;88.598;subset_100000
15778;723.134;subset_100000
13771;547.879;subset_100000
13606;509.004;subset_100000
7043;201.950;subset_100000
10068;264.218;subset_100000
17048;763.914;subset_100000
596;1.198;subset_100000
25974;1867.980;subset_100000
4160;52.792;subset_100000
8639;176.940;subset_100000
19546;1026.997;subset_100000
12595;412.081;subset_100000
3806;41.637;subset_100000
25261;1700.868;subset_100000
11394;347.408;subset_100000
7211;157.380;subset_100000
20198;1105.116;subset_100000
13824;542.676;subset_100000
13692;536.652;subset_100000
16541;735.771;subset_100000
19118;1045.401;subset_100000
4497;53.668;subset_100000
5971;119.180;subset_100000
6585;134.498;subset_100000
11955;481.940;subset_100000
21938;1397.822;subset_100000
16288;739.430;subset_100000
29446;2318.581;subset_100000
7029;145.218;subset_100000
22452;1362.221;subset_100000
18942;1080.097;subset_100000
26369;1884.441;subset_100000
14729;564.920;subset_100000
30125;2511.781;subset_100000
21693;1422.874;subset_100000
12551;427.746;subset_100000
21481;1267.464;subset_100000
6007;91.911;subset_100000
3547;29.456;subset_100000
22132;1498.439;subset_100000
27790;2271.850;subset_100000
16636;754.111;subset_100000
3119;22.762;subset_100000
27405;1984.157;subset_100000
32577;2799.688;subset_100000
6577;111.831;subset_100000
18664;956.923;subset_100000
29851;2377.300;subset_100000
26286;1794.545;subset_100000
3425;38.658;subset_100000
19766;1152.657;subset_100000
12761;421.984;subset_100000
6074;91.377;subset_100000
27180;1931.686;subset_100000
26695;1842.891;subset_100000
18576;881.652;subset_100000
10006;292.437;subset_100000
8143;194.072;subset_100000
373;0.692;subset_100000
7937;155.881;subset_100000
19732;1073.418;subset_100000
1062;2.931;subset_100000
23230;1478.282;subset_100000
25731;1831.651;subset_100000
23482;1452.451;subset_100000
16623;713.771;subset_100000
22388;1407.874;subset_100000
3437;36.443;subset_100000
23318;1431.936;subset_100000
20176;1056.763;subset_100000
6965;143.060;subset_100000
17974;820.192;subset_100000
16336;675.220;subset_100000
8604;187.246;subset_100000
5406;86.721;subset_100000
8667;214.093;subset_100000
28678;2148.143;subset_100000
27090;1915.258;subset_100000
19260;998.929;subset_100000
1921;9.566;subset_100000
2643;16.102;subset_100000
3942;43.352;subset_100000
31299;2747.945;subset_100000
9052;219.730;subset_100000
9009;225.373;subset_100000
18884;1021.716;subset_100000
23939;1481.746;subset_100000
24271;1877.915;subset_100000
27778;2340.144;subset_100000
30995;2572.053;subset_100000
13079;489.535;subset_100000
9173;221.488;subset_100000
31593;2739.498;subset_100000
