Target,Tempo total (ms),Arquivo
78897,13351.95,subset_1000.txt
6855,1087.52,subset_1000.txt
65012,11653.85,subset_1000.txt
13279,2247.56,subset_1000.txt
91115,15208.41,subset_1000.txt
79691,12292.90,subset_1000.txt
44526,8779.72,subset_1000.txt
18015,3069.02,subset_1000.txt
80922,13382.86,subset_1000.txt
65138,13805.62,subset_1000.txt
27817,5333.26,subset_1000.txt
88050,15870.82,subset_1000.txt
72857,12181.77,subset_1000.txt
1585,158.01,subset_1000.txt
43772,7355.79,subset_1000.txt
11301,1989.98,subset_1000.txt
14819,2212.02,subset_1000.txt
45203,7432.11,subset_1000.txt
21119,4277.61,subset_1000.txt
41894,7804.99,subset_1000.txt
57829,11798.41,subset_1000.txt
9536,1716.89,subset_1000.txt
33843,6579.81,subset_1000.txt
63010,11926.10,subset_1000.txt
21923,4443.80,subset_1000.txt
13269,2055.28,subset_1000.txt
84782,17271.10,subset_1000.txt
69888,11110.61,subset_1000.txt
10727,2242.80,subset_1000.txt
70197,12297.58,subset_1000.txt
40391,6647.05,subset_1000.txt
61559,10869.84,subset_1000.txt
7744,1333.58,subset_1000.txt
19548,3288.77,subset_1000.txt
15968,2725.48,subset_1000.txt
15632,2586.45,subset_1000.txt
29419,4682.29,subset_1000.txt
20146,3227.10,subset_1000.txt
49902,8560.23,subset_1000.txt
21160,3638.76,subset_1000.txt
82604,13665.27,subset_1000.txt
22430,3862.35,subset_1000.txt
13425,2095.29,subset_1000.txt
39997,6998.75,subset_1000.txt
15477,2567.40,subset_1000.txt
20777,3826.04,subset_1000.txt
7916,1183.30,subset_1000.txt
52581,8746.41,subset_1000.txt
19919,3696.02,subset_1000.txt
56382,9464.73,subset_1000.txt
59367,9576.04,subset_1000.txt
28165,4829.99,subset_1000.txt
88185,14156.93,subset_1000.txt
11837,2028.67,subset_1000.txt
44369,7078.19,subset_1000.txt
86205,14405.23,subset_1000.txt
30361,5083.71,subset_1000.txt
64033,10172.98,subset_1000.txt
88956,13998.15,subset_1000.txt
9548,1764.84,subset_1000.txt
20895,3180.63,subset_1000.txt
85100,13571.54,subset_1000.txt
19733,3468.33,subset_1000.txt
72867,11871.92,subset_1000.txt
26309,4617.03,subset_1000.txt
26031,4659.02,subset_1000.txt
19306,3178.21,subset_1000.txt
6149,1310.50,subset_1000.txt
80132,13214.33,subset_1000.txt
77204,12420.87,subset_1000.txt
59254,9741.67,subset_1000.txt
25519,4622.88,subset_1000.txt
22748,3824.30,subset_1000.txt
121,2.82,subset_1000.txt
6652,1018.72,subset_1000.txt
23413,3852.55,subset_1000.txt
